"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",5,"Slco5a1",45.02521076,-9.046258709,1.846455164,-4.899257175,9.62e-07,5.75e-05
"2",8,"Efhc1",11.07043643,-6.551974405,1.414765729,-4.631137348,3.64e-06,0.00016585
"3",9,"Gsta3",27.46502623,-3.682095592,1.386603934,-2.655477532,0.007919621,0.049191634
"4",10,"Ogfrl1",320.2314426,-2.723450135,0.694737071,-3.920116324,8.85e-05,0.001808846
"5",12,"Lman2l",321.7762684,-2.52324143,0.555773597,-4.54005272,5.62e-06,0.000224508
"6",14,"Ankrd23",1046.529291,-3.777282813,1.209368266,-3.123352017,0.001788038,0.016534506
"7",16,"Lyg2",266.8724076,-8.757523659,2.400186241,-3.648685052,0.000263586,0.004063243
"8",17,"Eif5b",3137.175944,-2.994022353,0.596895739,-5.015988816,5.28e-07,3.5e-05
"9",20,"Gm16894",112.0348483,-3.257400805,0.824603858,-3.950261418,7.81e-05,0.00165261
"10",21,"Il1r2",660.0015244,-4.382318176,0.675926744,-6.483421786,8.97e-11,3.53e-08
"11",22,"Il18rap",33.50509051,-3.815358395,1.066476967,-3.577534736,0.00034685,0.005033749
"12",27,"Inpp1",25.28593159,-2.471069131,0.929772112,-2.657714831,0.007867243,0.048971915
"13",28,"Pms1",82.59188901,-2.635611036,0.62199579,-4.237345459,2.26e-05,0.000654638
"14",30,"Ankrd44",846.6091579,-4.140998692,0.816841925,-5.069522715,3.99e-07,2.81e-05
"15",32,"Rftn2",14.75952445,-6.595734461,2.469223713,-2.671177353,0.00755857,0.047627787
"16",39,"Gm20257",45.99269082,-2.295691482,0.751732354,-3.053868136,0.002259114,0.01970506
"17",42,"Ica1l",5.635903835,-8.252582262,2.437578827,-3.385565288,0.000710318,0.008417801
"18",43,"Ctla4",43.48076579,-8.194175901,1.244008352,-6.586913898,4.49e-11,2.16e-08
"19",44,"Pard3b",15.81840685,-5.099381529,1.666261011,-3.060373792,0.002210609,0.019432983
"20",45,"Nrp2",101.2539668,-3.787956917,0.918014663,-4.126248815,3.69e-05,0.000958881
"21",48,"Ikzf2",556.3459138,-2.043365864,0.588936629,-3.469585287,0.000521263,0.006789061
"22",52,"Igfbp5",560.4266355,-4.630625681,1.707777218,-2.71149283,0.006698099,0.043713085
"23",55,"Tmbim1",1977.214507,-2.599297612,0.304358287,-8.540255768,1.34e-17,5.91e-14
"24",59,"Nhej1",87.51866178,-2.73520557,0.601688855,-4.545880393,5.47e-06,0.000219524
"25",60,"Slc23a3",94.28891401,-3.632272816,0.981576432,-3.700448279,0.000215219,0.003496512
"26",65,"Slc4a3",17.14587072,-4.202178648,1.472018904,-2.854704268,0.004307692,0.031484145
"27",66,"Mogat1",5.192895518,-6.634245354,1.913603923,-3.466885323,0.000526526,0.006817342
"28",67,"Acsl3",213.4488177,-2.557452342,0.487449084,-5.246604062,1.55e-07,1.41e-05
"29",69,"Irs1",151.5013023,-3.594470849,1.034704765,-3.473909632,0.000512934,0.006733728
"30",70,"Ccl20",187.9317409,-2.969581583,1.056893049,-2.809727613,0.004958344,0.034828517
"31",71,"Fbxo36",28.88962126,-3.523275943,0.871920144,-4.040824115,5.33e-05,0.001247881
"32",74,"Efhd1",12.06433935,-5.799965951,1.646745944,-3.522076961,0.00042818,0.005875621
"33",75,"Ngef",110.5957871,-2.534259216,0.685803629,-3.695313218,0.000219616,0.003558063
"34",76,"Sag",6.12698321,-6.986113253,2.096756955,-3.331866021,0.000862658,0.009673008
"35",79,"Hjurp",122.5669073,-3.046483187,0.688037764,-4.427784847,9.52e-06,0.000338107
"36",80,"Arl4c",494.5958616,-3.659204895,0.691007276,-5.29546507,1.19e-07,1.15e-05
"37",82,"Espnl",5.620787965,-5.90585731,2.032381223,-2.90588067,0.003662211,0.028142259
"38",87,"Sned1",19.9873699,-3.695294662,1.136003031,-3.252891551,0.001142371,0.011911193
"39",88,"Mterf4",277.6556737,-2.321414751,0.458644947,-5.061463706,4.16e-07,2.92e-05
"40",92,"Tnfrsf11a",90.77931769,-2.15792515,0.666653026,-3.236953959,0.001208129,0.012404402
"41",94,"Serpinb13",332.8258264,-2.318770597,0.84511263,-2.743741502,0.006074335,0.040497976
"42",101,"Tmem177",279.8419026,-4.122947761,0.719381457,-5.731239972,9.97e-09,1.49e-06
"43",103,"Nckap5",49.89608687,-3.605237186,1.012053879,-3.56229768,0.000367623,0.005255815
"44",106,"C4bp-ps1",13.12009252,-5.239633997,1.575166921,-3.326399208,0.000879758,0.009840615
"45",107,"Pigr",12.09071966,-8.667441347,1.690628966,-5.126755497,2.95e-07,2.31e-05
"46",108,"Il20",14.20882099,-5.074120104,1.824743514,-2.780730588,0.005423673,0.037446732
"47",109,"Rassf5",2990.07063,-2.155951934,0.657206795,-3.280477245,0.001036316,0.011157832
"48",110,"Srgap2",1816.14893,-2.394607584,0.820990178,-2.9167311,0.003537206,0.02745622
"49",111,"Ctse",89.86333852,-7.598796554,1.231596944,-6.169872858,6.83e-10,1.62e-07
"50",112,"Adora1",11.77993309,-5.06490176,1.603477219,-3.15869892,0.001584751,0.015184564
"51",113,"Ppfia4",176.8512187,-5.443466545,1.062854248,-5.121555055,3.03e-07,2.36e-05
"52",116,"Shisa4",130.7962187,-7.665901875,2.651361041,-2.891308184,0.003836417,0.029126222
"53",118,"Tnni1",38.39007076,-5.083257813,1.599842644,-3.177348617,0.001486283,0.014475714
"54",124,"Rgl1",98.37911818,-7.251147267,1.212530274,-5.980178329,2.23e-09,4.57e-07
"55",127,"Sec16b",12.95304589,-6.459474823,2.362484262,-2.734187451,0.006253443,0.04144423
"56",130,"Prrx1",125.2816126,-10.02651003,2.147993752,-4.667848789,3.04e-06,0.000144378
"57",132,"Dpt",565.7720993,-4.735193783,1.739582752,-2.722028474,0.006488255,0.042578136
"58",133,"Rcsd1",159.7115868,-6.890843671,1.148338887,-6.00070567,1.96e-09,4.08e-07
