"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",1,"Npbwr1",148.2087681,2.520648602,0.721197338,3.495088609,0.000473904,0.006385991
"2",3,"Mybl1",92.03398661,3.142038034,0.877350926,3.581278529,0.000341917,0.004990428
"3",6,"Pi15",403.3961285,6.439092901,1.655370957,3.889818697,0.000100319,0.001983166
"4",7,"Mcm3",301.8781745,3.492382064,0.897086118,3.893028769,9.9e-05,0.001963274
"5",11,"Plekhb2",1120.512952,2.170134845,0.371856206,5.835951667,5.35e-09,9.39e-07
"6",18,"Rev1",119.1424687,3.03673463,1.040149197,2.919518313,0.003505728,0.027280776
"7",24,"Fhl2",982.7852305,4.699451706,0.633142798,7.422419899,1.15e-13,1.61e-10
"8",25,"Tex30",173.2418308,2.080839047,0.669050089,3.110139407,0.001869991,0.017120362
"9",31,"Hspe1",1944.194675,2.658438268,0.94502969,2.813073807,0.004907039,0.034531262
"10",33,"Mars2",86.871366,2.031638,0.636316079,3.192812609,0.001408943,0.013836455
"11",35,"Sgol2a",70.2891434,4.976388354,1.268374343,3.923438203,8.73e-05,0.001798424
"12",40,"Tmem237",97.05205574,2.295257902,0.646184641,3.552015561,0.000382292,0.005411321
"13",49,"Bard1",50.99527213,4.023402823,1.159496034,3.469958245,0.000520539,0.006786934
"14",51,"Xrcc5",204.955911,2.571469325,0.699282571,3.677296462,0.000235719,0.003731537
"15",72,"Slc16a14",190.0608725,2.669155018,0.998608171,2.672875204,0.007520422,0.047544783
"16",78,"Ugt1a7c",34.53402429,3.479892591,1.252400162,2.778578842,0.005459726,0.037611175
"17",84,"Per2",259.4193386,4.049221955,1.089685951,3.715953163,0.000202439,0.003327579
"18",85,"Gpr35",195.5471895,2.352506799,0.8312347,2.830135458,0.00465283,0.033244698
"19",91,"Rnf152",333.6441654,3.20804502,0.76693034,4.182967934,2.88e-05,0.000796773
"20",93,"Serpinb12",2252.924184,3.047308447,1.029903829,2.958828157,0.003088113,0.024927102
"21",95,"Serpinb3a",1093.79082,3.657004469,1.336330057,2.736602721,0.006207721,0.041176722
"22",96,"Serpinb3b",3846.594613,4.002223988,0.906580931,4.414635087,1.01e-05,0.000353419
"23",97,"Serpinb3c",89.00718533,2.43482196,0.913708992,2.664767428,0.007704158,0.04821059
"24",98,"Serpinb2",3463.61961,2.40794702,0.47064523,5.116267773,3.12e-07,2.41e-05
"25",102,"Dbi",13130.96175,2.059049823,0.638846684,3.223073506,0.00126823,0.01283175
"26",104,"Mcm6",441.1367973,2.474273034,0.722723848,3.42353866,0.000618115,0.007575601
"27",114,"Ppp1r12b",54.6879737,6.481519063,2.283379283,2.838564364,0.004531698,0.032652445
"28",115,"Ube2t",53.57721736,4.328071108,1.402633397,3.085675215,0.002030905,0.018231883
"29",117,"Phlda3",1660.507605,2.048567744,0.572735097,3.576815452,0.000347806,0.005036614
"30",120,"Kif14",46.47533683,4.527114085,1.302870214,3.474723756,0.00051138,0.006733728
"31",122,"Aspm",132.6927976,5.554947949,1.234361971,4.500258497,6.79e-06,0.000257557
"32",125,"Rnasel",270.0710935,4.913349679,0.854144054,5.75236654,8.8e-09,1.35e-06
"33",134,"Uck2",451.2584838,2.759970997,0.74952566,3.682290206,0.000231148,0.003696685
"34",136,"Ddr2",829.6566648,2.647631489,0.95507894,2.772159847,0.005568568,0.038155742
"35",143,"Kcnj9",6.659143045,9.405382537,3.129055597,3.005821483,0.002648644,0.022171578
"36",147,"Ifi203",121.3142075,4.168527647,1.162857996,3.584726305,0.000337432,0.004957926
"37",148,"Ifi202b",919.0520634,6.338791447,1.11587722,5.680545615,1.34e-08,1.91e-06
"38",149,"Exo1",41.4258971,3.956649948,1.47677678,2.679247129,0.007378791,0.046958444
"39",154,"Ephx1",495.6583564,2.235879294,0.757771111,2.950599806,0.003171576,0.025413944
"40",157,"Enah",1939.611274,2.585621725,0.492160531,5.253614543,1.49e-07,1.37e-05
"41",159,"Capn2",854.9574618,3.130752172,0.622720372,5.027540955,4.97e-07,3.35e-05
"42",163,"Cenpf",146.1074447,3.33241865,1.0427882,3.195681204,0.001395012,0.013717167
"43",164,"Nsl1",49.59805563,3.238230092,1.194262732,2.71148886,0.006698179,0.043713085
"44",165,"Dtl",98.93589417,4.288039812,1.256977275,3.411390085,0.000646326,0.007833894
"45",171,"Fbxo5",137.3420653,2.462501996,0.847007643,2.907296075,0.00364568,0.028071368
"46",175,"Fbxo30",956.0933298,2.272290775,0.528785524,4.297187938,1.73e-05,0.00052999
"47",185,"Cenpw",54.936333,3.646789924,1.244195456,2.931042631,0.003378264,0.026541011
"48",190,"Marcks",1771.992333,2.166224867,0.604968193,3.580725219,0.000342642,0.004996264
"49",191,"Tube1",34.51046427,3.954679542,1.221001885,3.238880783,0.001199997,0.012361097
"50",195,"Cd24a",7856.760752,3.359637407,0.748178356,4.490423147,7.11e-06,0.000266453
"51",212,"Zfp365",180.5460441,3.920496375,0.497398823,7.881997695,3.22e-15,5.5e-12
"52",215,"Cdk1",376.1429062,4.187571329,1.156571467,3.620676671,0.000293834,0.004431725
"53",221,"Slc19a1",69.24154961,4.08791795,1.348775281,3.030836943,0.002438769,0.020805967
"54",222,"Adarb1",318.0014914,2.915090058,0.67523545,4.31714605,1.58e-05,0.000495759
"55",238,"Icosl",199.2971745,3.211769874,0.957755982,3.353432332,0.000798159,0.009168094
"56",256,"Parpbp",24.29571917,6.457709848,2.065648463,3.126238545,0.001770579,0.016402666
"57",257,"Nup37",134.6834743,2.734078045,0.857825701,3.187218617,0.001436482,0.014053014
"58",261,"Apaf1",121.0810366,4.147332684,0.889520522,4.662436201,3.12e-06,0.00014732
"59",263,"Elk3",289.7202428,2.92018775,0.967471814,3.018369844,0.002541385,0.021481635
"60",267,"Kitl",130.7995971,5.322257835,1.340813673,3.969423897,7.2e-05,0.001561755
"61",269,"Nav3",88.67698092,4.343797264,1.259649225,3.44841816,0.00056388,0.007144498
"62",270,"E2f7",72.26423144,3.866613802,1.320509114,2.928123525,0.003410145,0.026740063
"63",277,"Mdm1",97.14567922,2.098982514,0.654192604,3.208508473,0.001334254,0.013324332
"64",278,"Grip1",135.4755206,2.3777868,0.843412023,2.819246981,0.004813646,0.034061202
"65",285,"Timeless",181.3417347,2.627800486,0.725098243,3.624061304,0.000290013,0.004391337
"66",289,"Cdk2",437.2722186,2.071081343,0.566857947,3.653616137,0.000258573,0.004002019
"67",291,"Cd63",1603.790202,2.118259514,0.608069477,3.483581391,0.000494753,0.006600567
"68",303,"Ppia",20464.4241,2.063779381,0.650875837,3.170772773,0.00152034,0.014753867
"69",306,"Fignl1",101.7532547,4.828148023,1.478869318,3.264756368,0.001095583,0.011596426
"70",309,"Plek",170.6296005,3.659897672,1.237682674,2.957056561,0.003105911,0.025018214
"71",315,"Gm12070",2037.254646,3.178968003,0.996708845,3.189465026,0.001425364,0.013970929
"72",324,"Hmmr",98.38269113,3.534877739,1.045624429,3.380638059,0.000723177,0.008518554
"73",325,"Ccng1",2052.060679,4.342951106,0.783574393,5.542487277,2.98e-08,3.73e-06
"74",351,"Grap",136.7429173,2.399598846,0.886556089,2.706652039,0.006796545,0.044111531
"75",361,"Aurkb",114.2204205,5.399236783,1.03696952,5.20674589,1.92e-07,1.68e-05
"76",366,"Sox15",74.76471131,4.555207595,1.150736665,3.958514345,7.54e-05,0.001612087
"77",374,"Pitpnm3",217.5510151,4.747940699,1.084173183,4.379319441,1.19e-05,0.000400369
"78",390,"Spag5",119.4827068,4.311572385,0.989592167,4.356918463,1.32e-05,0.000433177
"79",400,"Slfn10-ps",41.10323892,5.561098916,1.606614841,3.461376539,0.000537421,0.006914214
"80",401,"Slfn2",727.5871434,2.776735108,0.979254341,2.835560685,0.004574532,0.03286571
"81",407,"Znhit3",172.1870253,2.853504918,0.798075977,3.57548028,0.000349586,0.005049605
"82",411,"Brip1",39.28871872,7.210860876,2.005286042,3.595926329,0.000323239,0.004790612
"83",413,"Ints2",226.5586845,2.47301378,0.850161972,2.908873676,0.003627334,0.028014319
"84",416,"Prr11",61.22803888,3.584997887,1.189400835,3.014120875,0.002577251,0.021668365
"85",417,"Ska2",99.02326405,2.025252162,0.660355243,3.066913124,0.002162817,0.019094034
"86",419,"Coil",181.8129599,2.06416243,0.619348738,3.332795083,0.000859782,0.009673008
"87",420,"Tom1l1",280.8294323,2.594237752,0.801071661,3.238459027,0.001201773,0.012371096
"88",423,"Gm11545",57.00237223,4.111450113,0.944912668,4.35114297,1.35e-05,0.000438194
"89",431,"Gpr179",31.98247744,9.367887702,2.537514084,3.691757914,0.000222709,0.003584105
"90",439,"Top2a",715.9100526,4.702564145,0.814149616,5.776044171,7.65e-09,1.25e-06
"91",485,"Krt14",126061.5722,4.208441636,0.812196646,5.181555054,2.2e-07,1.89e-05
"92",486,"Krt16",93444.63242,5.882104185,0.908576793,6.473975817,9.55e-11,3.55e-08
